0   864
250 862
500 859
750 853
1000    843
1250    822
1500    776
1750    678
1875    595
2000    495
2062    439
2125    385
2187    335
2250    284
2375    192
2500    124
2625    70
2750    40
2875    21
3000    11.6
3250    4.3
3500    2.5
3750    1.6
