0.0 239
250.0 238.5
500.0 235
625.0 232
750.0 227.5
812.5 225
875.0 221
937.5 218.5
1000.0 214
1062.5 209.5
1125.0 204
1156.25 201
1187.5 198
1218.75 196
1250.0 192.5
1281.25 188.5
1312.5 185
1343.75 182
1375.0 177
1406.25 172
1437.5 168.5
1468.75 164
1500.0 159
1531.25 155
1562.5 150
1593.75 145
1625.0 139
1656.25 134
1687.5 129
1718.75 123
1750.0 117
1781.25 112.5
1812.5 107.5
1843.75 102.5
1875.0 96.5
1906.25 92
1937.5 87
1968.75 82
2000.0 76
2031.25 71.5
2062.5 67.5
2093.75 63
2125.0 58
2156.25 54.5
2187.5 51
2218.75 47.5
2250.0 43.5
2312.5 37.2
2375.0 31.0
2437.5 26.9
2500.0 21.7
2562.5 18.3
2625.0 14.7
2750.0 9
2875.0 4.9
3000.0 2.2
3250.0 0.3
3500.0 0.2
3750.0 0.13
4000.0 0.13
