1990
Revs[x] Power[mW]
0       30.40
1       30.20
2       29.90
3       29.00
3.5     28.30
4       27.40
4.25    26.80
4.5     26.25
4.75    25.50
5       24.75
5.125   24.40
5.25    24.00
5.375   23.65
5.5     23.10
5.625   22.75
5.75    22.30
5.875   21.80
6       21.15
6.125   20.73
6.25    20.20
6.375   19.64
6.5     19.18
6.625   18.50
6.75    17.80
6.875   17.25
7       16.70
7.125   16.30
7.25    15.65
7.375   15.05
7.5     14.50
7.625   13.90
7.75    13.25
7.875   12.65
UUSI LUKITUS
7.5     13.55
7.625   13.05
7.75    12.35
7.875   11.70
8       11.40
8.25    10.42
8.5     9.25
8.75    8.18
9       7.25
9.25    6.54
9.5     5.75
9.75    5.07
10      4.36
10.25   3.69
10.5    3.10
10.75   2.58
11      2.14
11.5    1.44
12      0.90
12.5    0.51
13      0.25
14      0.14
15      0.10
16      0.10
17      0.10

4190
Different filter
Revs[x] Power[mW]
0       31.10
1       31.00
2       30.40
3       29.20
3.5     28.60
3.75    28.05
4       27.40
4.25    26.90
4.5     26.20
4.625   25.75
4.75    25.30
4.875   24.90
5       24.40
5.125   24.00
5.25    23.55
5.375   23.10
5.5     22.60
5.625   22.20
5.75    21.60
5.875   21.30
6       20.60
6.125   20.15
6.25    19.60
6.375   19.05
6.5     18.20
6.675   17.85
6.75    17.10
6.875   16.50
7       15.90
7.25    14.77
7.5     13.60
7.75    12.35
8       11.20
8.25    10.15
8.5     8.95
8.75    7.95
9       7.00
9.25    6.28
9.5     5.41
9.75    4.65
10      3.85
10.25   3.26
10.5    2.72
10.75   2.27
11      1.95
11.5    1.30
12      0.75
12.5    0.49
13      0.30
14      0.25
15      0.20
16      0.18
17      0.18
