1990
Revs[x] Power[mW]
0       30.1
1       29.8
2       29.2
2.5     28.5
3       27.6
3.25    27.0
3.5     26.1
3.75    25.2
4       24.1
4.125   23.5
4.25    22.9
4.375   22.3
4.5     21.6
4.625   20.85
4.75    20.1
4.875   19.4
5       18.6
5.125   17.8
5.25    17.0
5.375   16.25
5.5     15.35
5.625   14.5
5.75    13.75
5.875   13.1
6       12.2
6.125   11.4
6.25    10.7
6.375   10.0
6.5     9.2
6.675   8.55
6.75    7.75
6.875   7.15
7       6.55
7.125   5.9
7.25    5.35
7.375   4.8
7.5     4.3
7.625   3.85
7.75    3.4
8       2.7
8.25    2.1
8.5     1.6
8.75    1.25
9       1.0
9.5     0.67
10      0.55
11      0.39
12      0.28
13      0.2
14      0.17
15      0.17

4190
Revs[x] Power[mW]
0       246
1       244
2       240
2.5     236
3       231
3.25    227
3.5     222
3.75    216
4       210
4.125   205
4.25    201
4.375   197
4.5     192
4.625   188
4.75    183
4.875   177
5       171
5.125   166
5.25    160
5.375   154
5.5     148
5.625   141
5.75    134
5.875   128
6       121
6.125   114
6.25    107
6.375   100
6.5     94
6.625   88
6.75    82
6.875   76
7       70.5
7.125   65.5
7.25    59.5
7.375   55
7.5     49.5
7.625   45
7.75    40.9
7.875   36.7
8       32.9
8.25    26
8.5     20.2
8.75    15.4
9       11.9
9.25    9.2
9.5     7.1
9.75    5.6
10      4.6
10.5    3.4
11      2.75
12      1.86
13      1.2
14      0.79
15      0.68
16      0.56
17      0.5
18      0.45
18.5    0.42
