1990
Revs[x] Power[mW]
0       30.10
1       29.50
1.5     28.40
1.75    27.35
1.875   26.73
2       26.15
2.125   25.33
2.25    24.50
2.375   23.40
2.5     22.25
2.625   20.88
2.75    19.38
2.875   18.12
3       16.65
3.125   15.27
3.25    13.88
3.375   12.24
3.5     11.08
3.625   9.76
3.75    8.52
3.825   7.48
4       6.53
4.125   5.45
4.25    4.61
4.375   3.77
4.5     3.14
4.625   2.59
4.75    2.09
4.875   1.69
5       1.41
5.25    0.95
5.5     0.67
5.75    0.49
6       0.40
6.5     0.29
7       0.20
8       0.18
9       0.16
10      0.16
11      0.16

4190
Revs[x] Power[mW]
0       265
1       248
1.5     232
1.75    219
2       203
2.125   193
2.25    183
2.375   169
2.5     159
2.625   147
2.75    135
2.875   123.5
3       110
3.125   97.5
3.25    85
3.375   73
3.5     65
3.625   56.4
3.75    47.9
3.875   41.2
4       34.7
4.125   29.4
4.25    23.6
4.375   19.4
4.5     16.2
4.625   13.1
4.75    10.5
4.875   8.2
5       6.7
5.125   5.4
5.25    4.4
5.5     3.1
6       1.8
6.5     1.15
7       0.75
8       0.57
9       0.32
10      0.28
11      0.26
12      0.25
13      0.23
14      0.23
